Week,ethereum: (Worldwide),Date,Open,High,Low,Close,Adj Close,Volume
2020-07-19,8,2020-07-19,235.458298,239.16069,233.279739,238.487518,238.487518,6251377305
2020-07-26,14,2020-07-26,303.692383,316.386322,300.267822,309.643616,309.643616,12003973026
2020-08-02,14,2020-08-02,385.549866,411.228302,357.143646,370.671722,370.671722,18909744275
2020-08-09,11,2020-08-09,395.305237,399.737091,385.830719,391.120453,391.120453,9451065592
2020-08-16,10,2020-08-16,433.350586,436.265839,415.086243,433.786621,433.786621,12168816874
2020-08-23,7,2020-08-23,395.562836,396.490417,385.039795,391.384491,391.384491,8137303970
2020-08-30,11,2020-08-30,399.616699,428.663971,399.608368,428.395721,428.395721,11211948040
2020-09-06,8,2020-09-06,335.334564,359.764038,319.041901,353.362274,353.362274,27643678917
2020-09-13,7,2020-09-13,387.519287,388.959808,354.340179,365.570007,365.570007,15005899191
2020-09-20,6,2020-09-20,385.597992,385.597992,367.09436,371.052826,371.052826,12292195784
2020-09-27,5,2020-09-27,354.9599,361.984406,349.834076,357.438507,357.438507,13598126926
2020-10-04,5,2020-10-04,346.602234,354.045746,345.131012,352.57901,352.57901,10696959020
2020-10-11,5,2020-10-11,370.928436,377.246796,369.828033,375.142059,375.142059,12584512533
2020-10-18,6,2020-10-18,368.727539,378.597656,368.12915,378.213684,378.213684,11047103109
2020-10-25,6,2020-10-25,412.457642,417.15921,405.350647,406.217773,406.217773,10890207469
2020-11-01,7,2020-11-01,386.590332,397.116119,385.165527,396.358185,396.358185,10475146018
2020-11-08,8,2020-11-08,435.718811,457.780457,433.153778,453.554779,453.554779,11292383601
2020-11-15,10,2020-11-15,460.149902,460.99408,440.254333,447.559082,447.559082,10308617165
2020-11-22,17,2020-11-22,549.486633,579.372498,514.517212,558.068115,558.068115,21967049601
2020-11-29,13,2020-11-29,538.264587,576.602417,531.987549,575.758057,575.758057,15017517758
2020-12-06,9,2020-12-06,596.568665,606.791931,584.411743,601.908997,601.908997,11290893016
2020-12-13,13,2020-12-13,568.609863,593.78125,564.565979,589.663208,589.663208,9070377862
2020-12-20,13,2020-12-20,659.185059,659.923706,625.014465,638.290833,638.290833,13375855442
2020-12-27,23,2020-12-27,635.887146,711.393555,628.334961,682.642334,682.642334,26093552821
2021-01-03,59,2021-01-03,774.511841,1006.565002,771.561646,975.50769,975.50769,45200463368
2021-01-10,48,2021-01-10,1280.871094,1347.926147,1194.715576,1262.246704,1262.246704,40616938053
2021-01-17,39,2021-01-17,1233.453369,1265.644653,1174.38855,1230.172241,1230.172241,29258032819
2021-01-24,37,2021-01-24,1231.210571,1395.111328,1225.274048,1391.609375,1391.609375,36418163554
