Week,bitcoin: (Worldwide),Date,Open,High,Low,Close,Adj Close,Volume
2020-09-06,14,2020-09-06,10167.216797,10353.927734,10056.885742,10280.351563,10280.351563,37071460174
2020-09-13,13,2020-09-13,10452.399414,10577.214844,10224.330078,10323.755859,10323.755859,36506852789
2020-09-20,11,2020-09-20,11095.870117,11095.870117,10814.477539,10938.271484,10938.271484,24699523788
2020-09-27,11,2020-09-27,10746.892578,10803.976563,10622.921875,10775.269531,10775.269531,53745972818
2020-10-04,11,2020-10-04,10550.44043,10686.0,10534.391602,10669.583008,10669.583008,71251776995
2020-10-11,12,2020-10-11,11296.082031,11428.813477,11288.62793,11384.181641,11384.181641,19968627060
2020-10-18,16,2020-10-18,11355.982422,11483.359375,11347.578125,11483.359375,11483.359375,18283314340
2020-10-25,18,2020-10-25,13108.063477,13329.183594,12910.061523,13031.173828,13031.173828,24406920575
2020-11-01,19,2020-11-01,13780.995117,13862.033203,13628.37793,13737.109375,13737.109375,24453857900
2020-11-08,20,2020-11-08,14833.753906,15637.320313,14744.110352,15479.567383,15479.567383,26632075029
2020-11-15,27,2020-11-15,16068.139648,16123.110352,15793.53418,15955.587891,15955.587891,23653867583
2020-11-22,31,2020-11-22,18642.232422,18688.96875,17671.384766,18370.001953,18370.001953,41280434226
2020-11-29,25,2020-11-29,17719.634766,18283.628906,17559.117188,18177.484375,18177.484375,31133957704
2020-12-06,21,2020-12-06,19154.179688,19390.5,18897.894531,19345.121094,19345.121094,25293775714
2020-12-13,33,2020-12-13,18806.765625,19381.535156,18734.332031,19142.382813,19142.382813,25450468637
2020-12-20,35,2020-12-20,23861.765625,24209.660156,23147.710938,23477.294922,23477.294922,37844228422
2020-12-27,52,2020-12-27,26439.373047,28288.839844,25922.769531,26272.294922,26272.294922,66479895605
2021-01-03,86,2021-01-03,32129.408203,34608.558594,32052.316406,32782.023438,32782.023438,78665235202
2021-01-10,83,2021-01-10,40254.21875,41420.191406,35984.628906,38356.441406,38356.441406,79980747690
2021-01-17,50,2021-01-17,36163.648438,36722.351563,34069.320313,35791.277344,35791.277344,52359854336
2021-01-24,49,2021-01-24,32064.376953,32944.007813,31106.685547,32289.378906,32289.378906,48643830599
2021-01-31,42,2021-01-31,34270.878906,34288.332031,32270.175781,33114.359375,33114.359375,52754542671
2021-02-07,76,2021-02-07,39250.191406,39621.835938,37446.152344,38903.441406,38903.441406,65500641143
2021-02-14,76,2021-02-14,47114.507813,49487.640625,47114.507813,48717.289063,48717.289063,71248675228
